"Labour force characteristics by province, monthly, unadjusted for seasonality 1 2"
"Frequency: Monthly"
"Table: 14-10-0017-02"
"Release date: 2026-07-10"
"Geography: Canada, Province or territory"
""
""

,"Gender 3 4","Total - Gender",,,,,,
,"Age group","15 years and over",,,,,,
"Geography 5","Labour force characteristics","January 2024","January 2025","January 2026","January 2024 to January 2026","January 2025 to January 2026","January 2025 to January 2026","January 2024 to January 2026"
"Canada",,"Persons in thousands",,,,,,
,"Population 6 7","33,276.5","34,340.8","34,728.2","1,451.7","387.4","1.1","4.4"
,"Labour force 8","21,561.1","22,237.9","22,298.6","737.5","60.7","0.3","3.4"
,"Employment 9","20,246.6","20,670.1","20,795.1","548.5","125.0","0.6","2.7"
,"Full-time employment 10","16,414.7","16,756.4","16,905.8","491.1","149.4","0.9","3.0"
,"Part-time employment 11","3,832.0","3,913.7","3,889.3","57.3","-24.4","-0.6","1.5"
,"Unemployment 12","1,314.5","1,567.8","1,503.6","189.1","-64.2","-4.1","14.4"
,"Not in labour force 13","11,715.3","12,102.8","12,429.5","714.2","326.7","2.7","6.1"
,,"Percent",,,,,,
,"Unemployment rate 14","6.1","7.1","6.7","0.6","-0.4","...","..."
,"Participation rate 15","64.8","64.8","64.2","-0.6","-0.6","...","..."
,"Employment rate 16","60.8","60.2","59.9","-0.9","-0.3","...","..."
"Newfoundland and Labrador",,"Persons in thousands",,,,,,
,"Population 6 7","463.4","469.5","472.9","9.5","3.4","0.7","2.1"
,"Labour force 8","266.5","264.2","263.3","-3.2","-0.9","-0.3","-1.2"
,"Employment 9","233.7","229.8","234.7","1.0","4.9","2.1","0.4"
,"Full-time employment 10","196.2","194.5","196.3","0.1","1.8","0.9","0.1"
,"Part-time employment 11","37.5","35.3","38.3","0.8","3.0","8.5","2.1"
,"Unemployment 12","32.8","34.4","28.6","-4.2","-5.8","-16.9","-12.8"
,"Not in labour force 13","196.8","205.3","209.7","12.9","4.4","2.1","6.6"
,,"Percent",,,,,,
,"Unemployment rate 14","12.3","13.0","10.9","-1.4","-2.1","...","..."
,"Participation rate 15","57.5","56.3","55.7","-1.8","-0.6","...","..."
,"Employment rate 16","50.4","48.9","49.6","-0.8","0.7","...","..."
"Prince Edward Island",,"Persons in thousands",,,,,,
,"Population 6 7","148.5","152.4","155.4","6.9","3.0","2.0","4.6"
,"Labour force 8","95.8","98.1","100.2","4.4","2.1","2.1","4.6"
,"Employment 9","86.8","88.7","90.6","3.8","1.9","2.1","4.4"
,"Full-time employment 10","73.6","74.9","75.5","1.9","0.6","0.8","2.6"
,"Part-time employment 11","13.3","13.8","15.0","1.7","1.2","8.7","12.8"
,"Unemployment 12","9.0","9.4","9.6","0.6","0.2","2.1","6.7"
,"Not in labour force 13","52.6","54.3","55.3","2.7","1.0","1.8","5.1"
,,"Percent",,,,,,
,"Unemployment rate 14","9.4","9.6","9.6","0.2","0.0","...","..."
,"Participation rate 15","64.5","64.4","64.5","0.0","0.1","...","..."
,"Employment rate 16","58.5","58.2","58.3","-0.2","0.1","...","..."
"Nova Scotia",,"Persons in thousands",,,,,,
,"Population 6 7","891.2","909.7","918.5","27.3","8.8","1.0","3.1"
,"Labour force 8","548.6","552.9","557.1","8.5","4.2","0.8","1.5"
,"Employment 9","508.2","518.1","516.8","8.6","-1.3","-0.3","1.7"
,"Full-time employment 10","407.6","422.7","428.6","21.0","5.9","1.4","5.2"
,"Part-time employment 11","100.6","95.4","88.2","-12.4","-7.2","-7.5","-12.3"
,"Unemployment 12","40.4","34.8","40.3","-0.1","5.5","15.8","-0.2"
,"Not in labour force 13","342.6","356.8","361.4","18.8","4.6","1.3","5.5"
,,"Percent",,,,,,
,"Unemployment rate 14","7.4","6.3","7.2","-0.2","0.9","...","..."
,"Participation rate 15","61.6","60.8","60.7","-0.9","-0.1","...","..."
,"Employment rate 16","57.0","57.0","56.3","-0.7","-0.7","...","..."
"New Brunswick",,"Persons in thousands",,,,,,
,"Population 6 7","700.1","717.0","724.4","24.3","7.4","1.0","3.5"
